,number,name,href,len
799,799,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/cadpi1/NotMnist/blob/b59531923f23b2dc456eb56c11c6f82c0fe97459/2_fullyconnected.ipynb,10112
800,800,3_regularization.ipynb,https://nbviewer.jupyter.org/github/gauthamkrishna-g/Udacity-Deep-Learning/blob/f12b412b2b33b989e1eccb8b1004d0652aa6d1da/3_regularization.ipynb,33181
801,801,Deep_learning_3.ipynb,https://nbviewer.jupyter.org/github/zcwei/deep_learning/blob/bab4df20ea99dbb1270ac7696672aa22a655021e/Deep_learning_3.ipynb,19965
802,802,Tensorflow-3-Regularization.ipynb,https://nbviewer.jupyter.org/github/kamleshjha/Tensor-Flow-Assignments/blob/fba606a616149464401dc6ed52ea81b5c8ed9a6c/Tensorflow-3-Regularization.ipynb,16020
803,803,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/damor4321/tensorflow_topics/blob/ed46dd1777d61b88f40fbb7008f8309d61acebae/2_fullyconnected.ipynb,18273
804,804,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/SuyashLakhotia/DeepLearningAssignments/blob/f9eca7ae9cedd479c71e7acae03f4ae4b28e8ff9/2_fullyconnected.ipynb,10162
805,805,Tensorflow-3-Regularization.ipynb,https://nbviewer.jupyter.org/github/zebesta/ML-in-python/blob/9ce0985ad46d801c4941f1c11d0f61121439bd8b/notebooks/tensorflow/Tensorflow-3-Regularization.ipynb,16020
806,806,3_regularization.ipynb,https://nbviewer.jupyter.org/github/llathrop/ud730/blob/858fdde10c48cfb0a8c3e22c2dd42f9f0da64d55/3_regularization.ipynb,18945
807,807,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/thinkinds/ud730/blob/fab392fc656f1e2b28347e1884883c6bbbd3a270/2_fullyconnected.ipynb,10534
808,808,Tensorflow-2-FullyConnected.ipynb,https://nbviewer.jupyter.org/github/yarenty/ML_python/blob/f34b2a0114192dec53d776e67568688faf6bf536/Tensorflow-2-FullyConnected.ipynb,9983
809,809,Deep%20Learning%20-%20Udacity%20-%20Assignment%203.ipynb,https://nbviewer.jupyter.org/github/BernieYi/Udacity-Deep-Learning/blob/e7949f1256c0b0d049110557b2959c8e403abbc7/Deep%20Learning%20-%20Udacity%20-%20Assignment%203.ipynb,12329
810,810,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/StefanBS/TFM/blob/d483eba5a3f384a2f99fae64c69a30309e4f17bf/2_fullyconnected.ipynb,10164
811,811,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/jay-z007/Deep-Learning/blob/982476c597f5e231724797002f2aac9cca7dda30/DL/a1/2_fullyconnected.ipynb,10130
812,812,DAY_2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/dyoung418/udacity-tensorflow/blob/bab8b23c4c602f42bf7367ca2be56f1e9c18293a/DAY_2_fullyconnected.ipynb,11079
813,813,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/yangchunluo/udacity-deeplearning/blob/ef5445511edefc6afe744d34d650597a96cd2158/2_fullyconnected.ipynb,11310
814,814,regularization.ipynb,https://nbviewer.jupyter.org/github/jdormuth/udacitydeeplearning/blob/124170d5e76ccdd0ad5755835984bc73a88be2f8/regularization.ipynb,20702
815,815,assignment_3.ipynb,https://nbviewer.jupyter.org/github/thanhtoantnt/deep-learning/blob/88f8fdc3c2965568a69c781bb7df524f89d81f68/assignment_3.ipynb,21801
816,816,3_regularization.ipynb,https://nbviewer.jupyter.org/github/williamlucia/udacity-courses/blob/7397384e9a672b6e93359e4a6d5a895329212d0c/deep-learning/3_regularization.ipynb,16064
817,817,tensorflow%20sandbox.ipynb,https://nbviewer.jupyter.org/github/disooqi/miscellaneous-jupyter-notebooks/blob/48c9e6cc4b446f87f09baa5c6ae3c4caf1482c1e/handson_ml/tensorflow%20sandbox.ipynb,13446
818,818,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/ryanriopelle/wildfire-data-analysis/blob/acd974c3425ba8b1e0ab6805eca5aa2a41c18f54/GoogleDeepLearning/2_fullyconnected.ipynb,10178
819,819,npe-test.ipynb,https://nbviewer.jupyter.org/github/zhrlove/NPE/blob/f92071c75e69371970e204011ead9ff3a2f05ecf/notebooks/npe-test.ipynb,13376
820,820,reg.ipynb,https://nbviewer.jupyter.org/github/xiangli-chen/DL-Google-udacity/blob/68fcbe5cb9f0d2bbc1e879387f139ab3a4300ac4/reg.ipynb,17947
821,821,3_regularization.ipynb,https://nbviewer.jupyter.org/github/dimas1318/Udacity-Deep_Learning/blob/71906f584cd65c747e9982de9c3e5013c30a319c/3_regularization.ipynb,21862
822,822,3_regularization.ipynb,https://nbviewer.jupyter.org/github/minzhou1003/DeepLearning/blob/fe46ac85c1bd0b8a15352a2d9f389de5ba02a661/3_regularization.ipynb,16214
823,823,3_regularization.ipynb,https://nbviewer.jupyter.org/github/willyjlee/Deep_Learning/blob/70bf8e185b38edce50eabefd31536f0689185c1f/3_regularization.ipynb,21904
824,824,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/emma-holmes/Deep-Learning-Assignments/blob/1e5db45bed352d73c42d1a55f0fdd8b955f4525e/2_fullyconnected.ipynb,10186
825,825,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/CarloNguyen/PublicCode/blob/a94ff96cc6dc60efd0a1a179ce6d30e59dd27483/DeepLearningWithTensorFlow/2_fullyconnected.ipynb,9979
826,826,Second_Trial.ipynb,https://nbviewer.jupyter.org/github/yuhenghuang/tensorflowtutorial/blob/cc538a7839576b28bb92990e4a662af0b87ec04d/Second_Trial.ipynb,10710
827,827,Udacity-deep-learning-assign03.ipynb,https://nbviewer.jupyter.org/github/kaustubh-pandey/Udacity-Deep-Learning/blob/8d745a40514ee8f598b5fec5e3ad9221732f0c40/Udacity-deep-learning-assign03.ipynb,20117
828,828,3_regularization.ipynb,https://nbviewer.jupyter.org/github/alanwang93/UD730_Deep_Learning/blob/e376993ed1ba612da54c23102e594eac72946641/3_regularization/3_regularization.ipynb,13853
829,829,05_convolutional_net-checkpoint.ipynb,https://nbviewer.jupyter.org/github/castiel1985/opencv/blob/75d19f7690a4f8d93403b19cabb42b76538c79bd/study/cn_tensorflow/TensorFlow-Tutorials/.ipynb_checkpoints/05_convolutional_net-checkpoint.ipynb,3713
830,830,Tensorflow%20-%20Understanding%20Backprop.ipynb,https://nbviewer.jupyter.org/github/Shashi456/Deep-Learning/blob/444335e10cb9a07002ce975d60b3bdd2ed007eaa/Deep%20Learning.ai/Tensorflow%20-%20Understanding%20Backprop.ipynb,10352
